127.0.0.1 - - [13/May/2020:14:22:24 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:26 +0900] "GET /kitri/browsejobs.jsp HTTP/1.1" 200 26463
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 9467
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/animate.css HTTP/1.1" 200 73641
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/owl.carousel.min.css HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/owl.theme.default.min.css HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/magnific-popup.css HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/aos.css HTTP/1.1" 200 25983
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/ionicons.min.css HTTP/1.1" 200 46816
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/bootstrap-datepicker.css HTTP/1.1" 200 17945
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/jquery.timepicker.css HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/flaticon.css HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/resources/css/icomoon.css HTTP/1.1" 200 79875
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/js/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/js/popper.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:27 +0900] "GET /kitri/js/bootstrap.min.js HTTP/1.1" 404 721
